iter	RMSE
0	627880.6841
1	624207.5106
2	620660.7598
3	617381.3147
4	614065.9558
5	611171.2506
6	608422.0715
7	605868.9931
8	603514.4595
9	601475.6576
10	599282.4131
11	597364.2019
12	595191.5935
13	593374.5812
14	591497.0641
15	588708.1044
16	587188.3226
17	585989.1452
18	580213.9415
19	578663.0235
20	577752.6223
21	576743.7142
22	575794.6685
23	574102.9036
24	573041.0932
25	572299.8621
26	571027.8271
27	570352.8135
28	565205.1417
29	561529.0628
30	560631.1931
31	559858.6567
32	559062.5243
33	556899.6458
34	556183.6494
35	555678.0707
36	555189.5351
37	553059.7513
38	552065.3871
39	551299.1829
40	549464.9525
41	548982.858
42	545501.8448
43	544219.236
44	543659.7825
45	543375.4858
46	542973.2833
47	542308.201
48	541780.3865
49	541444.6304
50	540909.1749
51	540389.155
52	540014.7268
53	539715.2442
54	539179.3946
55	538289.0294
56	537720.9506
57	536458.076
58	536027.5021
59	534938.9942
60	534791.1624
61	530376.0192
62	530188.1626
63	529917.6879
64	529684.2777
65	529517.5034
66	529234.6221
67	529011.7584
68	528582.9661
69	528319.6835
70	528289.8306
71	523866.5843
72	522467.6252
73	518299.8261
74	517913.1278
75	514548.5947
76	514292.3626
77	514032.1315
78	513770.9041
79	513534.0869
80	513471.8024
81	513049.6627
82	512956.3521
83	512878.371
84	512697.4879
85	512577.9943
86	512428.1648
87	512183.0363
88	512028.8703
89	511819.8809
90	511364.5963
91	511243.0985
92	510952.4365
93	506923.8768
94	505192.1742
95	502336.1412
96	498440.496
97	494576.2559
98	494411.6308
99	494121.4726
100	494097.2729
101	493831.5608
102	493321.661
103	493159.7837
104	492816.5882
105	492641.3422
106	492441.9037
107	492352.3423
108	491948.63
109	491897.0133
110	491839.4262
111	491699.9019
112	491488.8424
113	487665.0587
114	487319.4327
115	487186.8113
116	485989.2188
117	485770.8035
118	485629.9447
119	485342.4264
120	484217.9171
121	483084.4551
122	482906.9936
123	482763.0713
124	481488.9065
125	481394.9451
126	478605.022
127	478480.6482
128	478319.7066
129	478191.3733
130	478005.8237
131	477703.2016
132	477590.8056
133	473731.3043
134	473614.7719
135	473540.957
136	469899.671
137	466333.5091
138	466097.2113
139	465933.1365
140	465838.4836
141	465760.972
142	465596.8005
143	465439.0081
144	464281.7233
145	464189.3243
146	464069.3502
147	460553.5863
148	460372.8255
149	460264.1068
150	460196.6406
151	460020.9497
152	459785.1815
153	459620.3984
154	459507.7324
155	459403.9295
156	459339.7165
157	459252.9657
158	458343.4139
159	458129.7912
160	457058.0234
161	456982.692
162	456745.9574
163	456533.6552
164	456443.2153
165	452929.0932
166	449503.7015
167	449275.7491
168	449181.785
169	448073.4229
170	447979.8957
171	447867.2209
172	447796.6626
173	447745.9369
174	447497.0201
175	447238.9462
176	447117.0386
177	447027.9566
178	446852.4917
179	446629.0393
180	446434.4123
181	443094.7903
182	442059.4938
183	441922.0386
184	441764.9719
185	441707.5879
186	441115.4559
187	440869.3231
188	440666.9414
189	440516.8555
190	440377.8272
191	440103.9969
192	436767.4886
193	433500.78
194	433386.4349
195	433161.3148
196	433062.3579
197	432011.5246
198	431855.636
199	428635.3507
200	428521.7698
201	428394.8655
202	428295.9999
203	425143.91
204	422067.9611
205	420014.4386
206	416994.0149
207	416879.69
208	416657.4433
209	413709.6575
210	410825.636
211	407998.494
212	405214.1966
213	405080.7252
214	402357.9282
215	399685.3257
216	397039.0524
217	394465.8099
218	394182.0074
219	391657.9954
220	389182.195
221	386750.6563
222	384366.1495
223	382023.1094
224	379721.6637
225	378551.5537
226	376292.5774
227	374075.4033
228	371899.5278
229	369766.0457
230	367661.2628
231	365596.5514
232	363571.6892
233	361592.76
234	361476.3012
235	359533.9079
