iter	Passed	Remaining
0	131	131642
1	142	71060
2	153	50908
3	164	40994
4	175	35004
5	186	30848
6	196	27862
7	207	25693
8	217	23942
9	227	22524
10	238	21436
11	251	20704
12	260	19770
13	266	18765
14	271	17825
15	278	17112
16	282	16311
17	286	15643
18	290	15001
19	294	14412
20	298	13921
21	302	13428
22	305	12981
23	308	12557
24	312	12173
25	315	11830
26	319	11505
27	322	11209
28	327	10972
29	331	10731
30	335	10480
31	338	10240
32	341	10010
33	344	9794
34	347	9592
35	350	9395
36	354	9226
37	357	9059
38	361	8902
39	364	8746
40	367	8599
41	373	8521
42	376	8386
43	380	8271
44	384	8152
45	388	8050
46	391	7944
47	395	7839
48	398	7734
49	401	7632
50	404	7532
51	408	7446
52	411	7346
53	414	7262
54	417	7179
55	421	7102
56	424	7025
57	428	6957
58	431	6887
59	435	6818
60	438	6753
61	442	6689
62	445	6625
63	448	6563
64	452	6502
65	455	6443
66	458	6385
67	461	6328
68	465	6275
69	468	6222
70	470	6150
71	473	6098
72	476	6049
73	480	6006
74	483	5958
75	486	5914
76	489	5872
77	493	5830
78	497	5797
79	500	5760
80	504	5719
81	507	5680
82	510	5642
83	512	5588
84	515	5551
85	519	5516
86	522	5483
87	526	5453
88	529	5422
89	533	5391
90	536	5359
91	539	5327
92	543	5299
93	546	5269
94	550	5241
95	553	5213
96	556	5185
97	560	5157
98	563	5129
99	566	5100
100	569	5073
101	573	5046
102	577	5026
103	580	5001
104	583	4975
105	587	4951
106	590	4929
107	593	4905
108	597	4883
109	600	4859
110	603	4836
111	607	4814
112	610	4792
113	614	4774
114	617	4753
115	621	4733
116	624	4711
117	627	4690
118	631	4672
119	634	4653
120	637	4634
121	641	4616
122	644	4598
123	648	4581
124	651	4562
125	655	4544
126	658	4529
127	662	4511
128	665	4493
129	668	4476
130	672	4461
131	676	4446
132	679	4429
133	683	4415
134	686	4400
135	690	4385
136	693	4371
137	697	4355
138	700	4339
139	704	4325
140	707	4310
141	711	4296
142	714	4282
143	717	4267
144	721	4253
145	724	4239
146	728	4225
147	731	4211
148	734	4197
149	738	4184
150	742	4172
151	745	4159
152	748	4145
153	751	4130
154	754	4115
155	758	4101
156	761	4087
157	764	4073
158	767	4060
159	770	4046
160	773	4032
161	776	4018
162	780	4006
163	783	3992
164	786	3979
165	789	3968
166	793	3957
167	796	3945
168	799	3933
169	803	3921
170	806	3909
171	809	3898
172	813	3886
173	816	3874
174	819	3864
175	823	3854
176	826	3844
177	830	3833
178	833	3823
179	837	3813
180	840	3802
181	843	3791
182	847	3781
183	850	3771
184	853	3760
185	856	3749
186	860	3739
187	863	3729
188	866	3717
189	869	3707
190	873	3697
191	876	3689
192	880	3679
193	883	3670
194	886	3660
195	890	3651
196	893	3641
197	896	3632
198	900	3623
199	903	3614
200	906	3604
201	909	3594
202	912	3582
203	915	3574
204	919	3565
205	923	3558
206	926	3550
207	930	3542
208	933	3533
209	937	3525
210	940	3516
211	943	3507
212	947	3499
213	950	3491
214	953	3482
215	956	3473
216	960	3464
217	963	3457
218	967	3449
219	970	3441
220	974	3433
221	977	3426
222	981	3418
223	984	3411
224	988	3404
225	991	3397
226	995	3389
227	998	3381
228	1002	3374
229	1005	3366
230	1008	3358
231	1012	3351
232	1015	3343
233	1018	3334
234	1021	3326
235	1025	3320
236	1029	3314
237	1032	3307
238	1036	3300
239	1040	3293
240	1043	3286
241	1047	3280
242	1050	3273
243	1054	3266
244	1057	3259
245	1060	3252
246	1064	3245
247	1068	3238
248	1071	3231
249	1074	3224
250	1078	3217
251	1081	3211
252	1085	3204
253	1088	3197
254	1092	3190
255	1095	3184
256	1099	3177
257	1102	3170
258	1105	3164
259	1109	3157
260	1112	3151
261	1116	3144
262	1119	3137
263	1122	3130
264	1126	3123
265	1129	3117
266	1133	3110
267	1136	3104
268	1139	3097
269	1143	3091
270	1146	3084
271	1150	3078
272	1153	3070
273	1156	3064
274	1159	3057
275	1163	3051
276	1166	3043
277	1169	3037
278	1173	3031
279	1176	3025
280	1180	3019
281	1183	3013
282	1187	3007
283	1190	3000
284	1193	2993
285	1196	2987
286	1200	2981
287	1203	2975
288	1206	2969
289	1209	2962
290	1212	2954
291	1216	2948
292	1219	2942
293	1222	2936
294	1225	2929
295	1229	2923
296	1232	2917
297	1235	2911
298	1239	2905
299	1242	2899
300	1246	2893
301	1249	2888
302	1252	2882
303	1256	2876
304	1259	2870
305	1263	2864
306	1266	2859
307	1270	2853
308	1273	2847
309	1277	2842
310	1280	2836
311	1283	2830
312	1286	2824
313	1290	2818
314	1293	2812
315	1296	2806
316	1300	2801
317	1303	2795
318	1307	2790
319	1310	2784
320	1313	2778
321	1317	2773
322	1320	2767
323	1323	2762
324	1327	2756
325	1330	2751
326	1334	2745
327	1337	2740
328	1340	2734
329	1344	2729
330	1347	2722
331	1350	2717
332	1354	2712
333	1357	2706
334	1360	2701
335	1364	2695
336	1367	2690
337	1371	2685
338	1374	2680
339	1378	2674
340	1381	2669
341	1384	2663
342	1387	2658
343	1391	2653
344	1394	2648
345	1398	2642
346	1401	2637
347	1404	2631
348	1408	2626
349	1411	2621
350	1414	2615
351	1417	2610
352	1421	2605
353	1424	2600
354	1428	2594
355	1431	2589
356	1434	2584
357	1438	2579
358	1441	2574
359	1445	2569
360	1448	2564
361	1451	2558
362	1455	2553
363	1458	2547
364	1461	2542
365	1465	2537
366	1468	2533
367	1472	2528
368	1475	2523
369	1478	2517
370	1482	2512
371	1485	2507
372	1488	2502
373	1492	2497
374	1495	2492
375	1499	2487
376	1502	2482
377	1505	2477
378	1509	2473
379	1512	2467
380	1515	2462
381	1519	2457
382	1522	2452
383	1526	2448
384	1530	2444
385	1533	2439
386	1537	2434
387	1540	2429
388	1543	2425
389	1547	2419
390	1550	2415
391	1554	2410
392	1557	2405
393	1560	2400
394	1564	2395
395	1567	2390
396	1571	2386
397	1574	2381
398	1577	2376
399	1581	2371
400	1584	2367
401	1588	2362
402	1591	2357
403	1594	2352
404	1598	2348
405	1601	2343
406	1605	2338
407	1608	2333
408	1611	2329
409	1615	2324
410	1618	2319
411	1621	2314
412	1624	2309
413	1628	2304
414	1631	2299
415	1634	2294
416	1638	2290
417	1641	2285
418	1645	2281
419	1648	2276
420	1651	2271
421	1655	2267
422	1658	2262
423	1662	2257
424	1665	2253
425	1668	2248
426	1672	2243
427	1675	2238
428	1678	2234
429	1681	2229
430	1685	2224
431	1688	2219
432	1691	2214
433	1694	2210
434	1698	2205
435	1701	2200
436	1704	2195
437	1707	2190
438	1710	2186
439	1714	2181
440	1717	2177
441	1721	2172
442	1724	2168
443	1727	2163
444	1731	2159
445	1734	2154
446	1737	2149
447	1741	2146
